map_no,mga_zone,x_min,x_max,y_min,y_max
2J,55,317968,319970,5808528,5811008
2K,55,319917,321919,5808570,5811050
2L,55,321867,323869,5808612,5811091
2M,55,323817,325819,5808653,5811133
2S,55,313964,315966,5813320,5815800
2T,55,315914,317916,5813362,5815842
91A,55,342316,344318,5792853,5795330
100A,55,334898,336900,5775422,5777899
75A,55,333716,335692,5812117,5813377
84A,55,316439,318415,5817438,5818699
401,55,267283,269286,5772751,5775232
402,55,269233,270456,5772793,5775257
2N,55,319970,321972,5806132,5808612
2P,55,321919,323921,5806174,5808653
2A,55,317863,319865,5813404,5815884
2B,55,319813,321815,5813446,5815925
2C,55,321763,323764,5813487,5815967
2D,55,323712,325714,5813529,5816009
2E,55,317916,319917,5810966,5813446
2F,55,319865,321867,5811008,5813487
2G,55,321815,323817,5811050,5813529
2H,55,323764,325766,5811091,5813571
258,55,311644,315649,5737742,5742625
258,55,317589,321133,5736574,5738275
269,55,366208,367403,5836385,5837628
270,55,371713,372909,5832031,5833274
290,55,382672,384656,5824631,5826297
299,55,372864,374441,5796695,5797541
331,55,287011,288588,5834697,5835543
368,55,317209,321138,5845099,5846577
380,55,350752,351974,5845454,5847917
454,55,273434,275029,5775856,5777516
488,55,249609,250805,5784130,5785375
499,55,287826,291787,5758689,5761618
616,55,318136,320536,5872009,5874903
657,55,282137,282952,5855450,5857093
657,55,286774,287590,5857989,5859225
658,55,285357,286171,5850926,5852568
166,55,299736,303661,5750817,5752121
199,55,302580,306540,5798035,5800963
366,55,313339,317343,5840140,5845099
367,55,317239,321242,5840223,5845182
368,55,321138,325142,5840306,5845265
381,55,293944,297948,5834847,5839807
382,55,297844,301848,5834930,5839890
441,55,264004,268010,5775653,5780614
442,55,267904,271909,5775738,5780699
443,55,287402,291408,5776161,5781122
495,55,272228,276234,5756317,5761278
199,55,294885,298829,5793803,5795919
496,55,276128,280133,5756402,5761363
497,55,280027,284033,5756487,5761448
498,55,283927,287932,5756572,5761533
500,55,291725,295730,5756742,5761702
505,55,261804,265811,5751210,5756172
506,55,265704,269710,5751295,5756257
514,55,252259,256266,5742729,5747692
518,55,233838,237846,5727822,5732785
615,55,316398,320401,5867094,5872053
246,55,335222,336418,5846630,5847874
616,55,320298,324301,5867177,5872136
627,55,316825,320828,5859728,5864687
627X,55,324615,327041,5861112,5865226
440,55,260103,264110,5775568,5780530
5,55,309752,313755,5825427,5830387
6,55,313651,317655,5825511,5830470
7,55,317551,321554,5825594,5830553
628,55,320724,324727,5859811,5864770
647,55,316928,320931,5854852,5859811
648,55,320828,324831,5854934,5859893
657,55,282874,286878,5854248,5859208
658,55,285832,289836,5849311,5854271
660,55,293157,297161,5849466,5854426
667,55,317032,321035,5849975,5854934
668,55,320931,324934,5850058,5855017
677,55,282036,286040,5844351,5849311
678,55,285936,289940,5844434,5849394
687,55,317135,321138,5845099,5850058
688,55,321035,325038,5845182,5850141
696,55,286040,290044,5839557,5844517
474,55,299312,303317,5766663,5771623
479,55,264322,268328,5761023,5765984
480,55,268222,272228,5761108,5766069
383,55,301744,305748,5835014,5839973
384,55,305644,309647,5835097,5840056
385,55,309543,313547,5835180,5840140
329,55,278448,282452,5829636,5834597
330,55,282348,286352,5829720,5834680
331,55,286248,290252,5829803,5834764
332,55,290148,294152,5829887,5834847
333,55,270751,274756,5824592,5829553
334,55,274652,278657,5824676,5829636
335,55,278552,282557,5824759,5829720
336,55,282452,286457,5824843,5829803
337,55,286352,290357,5824927,5829887
338,55,290252,294257,5825010,5829970
339,55,270856,274861,5819715,5824676
340,55,274756,278761,5819799,5824759
341,55,278657,282661,5819882,5824843
481,55,272122,276128,5761193,5766154
482,55,276021,280027,5761278,5766239
483,55,279921,283927,5761363,5766324
484,55,283820,287826,5761448,5766409
485,55,287720,291725,5761533,5766494
486,55,291619,295624,5761618,5766578
487,55,295518,299524,5761702,5766663
488,55,250345,254351,5782521,5787483
493,55,264429,268435,5756146,5761108
494,55,268328,272334,5756231,5761193
697,55,289940,293944,5839641,5844601
144,55,357846,361806,5767468,5770396
144,55,322873,326815,5762294,5764410
166,55,294234,298213,5754733,5758474
167,55,303634,307639,5747271,5752206
167,55,298159,299338,5756879,5757311
167,55,298168,299383,5754818,5756905
257,55,331030,334999,5742964,5747923
257,55,315250,317624,5736523,5738199
421,55,263792,267798,5785407,5790368
422,55,267692,271698,5785491,5790453
423,55,271592,275598,5785576,5790537
424,55,275492,279497,5785660,5790621
429,55,256097,260103,5780360,5785322
430,55,259997,264004,5780445,5785407
431,55,263898,267904,5780530,5785491
432,55,267798,271803,5780614,5785576
439,55,256203,260210,5775483,5780445
26,55,306060,310064,5815591,5820551
27,55,309960,313964,5815675,5820635
28,55,313860,317863,5815758,5820718
29,55,317759,321763,5815842,5820801
30,55,321658,325662,5815925,5820885
31,55,325558,329561,5816009,5820968
32,55,329457,333460,5816092,5821051
33,55,333356,337359,5816176,5821135
8,55,321450,325454,5825677,5830637
9,55,325349,329353,5825761,5830720
10,55,329249,333252,5825844,5830803
11,55,333148,337151,5825927,5830886
12,55,337047,341050,5826010,5830969
13,55,302056,306060,5820384,5825344
14,55,305956,309960,5820468,5825427
15,55,309856,313860,5820551,5825511
16,55,313755,317759,5820635,5825594
17,55,317655,321658,5820718,5825677
18,55,321554,325558,5820801,5825761
146,55,330609,334612,5762463,5767422
386,55,313443,317447,5835263,5840223
387,55,317343,321346,5835346,5840306
388,55,321242,325246,5835430,5840389
389,55,325142,329145,5835513,5840472
390,55,329041,333044,5835596,5840555
391,55,332940,336943,5835679,5840638
392,55,336840,340843,5835762,5840721
393,55,340739,344742,5835845,5840803
394,55,344638,348641,5835928,5840886
395,55,348537,352540,5836011,5840969
396,55,351515,355518,5843845,5848804
419,55,255991,259997,5785237,5790199
420,55,259892,263898,5785322,5790284
444,55,291302,295307,5776246,5781206
445,55,295201,299206,5776330,5781290
446,55,299101,303106,5776415,5781375
449,55,256309,260316,5770606,5775568
450,55,260210,264216,5770691,5775653
451,55,264110,268116,5770776,5775738
452,55,268010,272015,5770861,5775822
453,55,271909,275915,5770946,5775907
454,55,275809,279815,5771031,5775992
455,55,279709,283714,5771115,5776076
456,55,283609,287614,5771200,5776161
457,55,287508,291513,5771285,5776246
458,55,291408,295413,5771370,5776330
459,55,295307,299312,5771454,5776415
460,55,299206,303211,5771539,5776499
463,55,256416,260422,5765729,5770691
464,55,260316,264322,5765814,5770776
465,55,264216,268222,5765899,5770861
466,55,268116,272122,5765984,5770946
467,55,272015,276021,5766069,5771031
468,55,275915,279921,5766154,5771115
469,55,279815,283820,5766239,5771200
470,55,283714,287720,5766324,5771285
471,55,287614,291619,5766409,5771370
472,55,291513,295518,5766494,5771454
473,55,295413,299418,5766578,5771539
20,55,329353,333356,5820968,5825927
21,55,333252,337255,5821051,5826010
22,55,337151,341154,5821135,5826093
23,55,341050,345053,5821218,5826177
24,55,344949,348952,5821301,5826260
25,55,302161,306165,5815508,5820468
99,55,334192,338196,5777172,5782131
100,55,338091,342094,5777256,5782215
101,55,330398,334402,5772213,5777172
102,55,334297,338301,5772297,5777256
103,55,338196,342199,5772381,5777340
104,55,326605,330609,5767254,5772213
105,55,330503,334507,5767338,5772297
106,55,334402,338406,5767422,5772381
107,55,338301,342304,5767506,5772465
108,55,349473,353476,5792133,5797091
109,55,353372,357375,5792216,5797175
34,55,337255,341258,5816259,5821218
35,55,341154,345157,5816342,5821301
36,55,345053,349056,5816426,5821384
37,55,348952,352955,5816509,5821467
38,55,352851,356854,5816592,5821550
39,55,302265,306270,5810631,5815591
40,55,306165,310169,5810715,5815675
41,55,310064,314068,5810799,5815758
68,55,325871,329874,5801382,5806341
147,55,334507,338511,5762547,5767506
148,55,338406,342409,5762631,5767590
149,55,342304,346308,5762715,5767674
150,55,322917,326921,5757419,5762379
151,55,326815,330819,5757504,5762463
152,55,330714,334718,5757588,5762547
205,55,290776,294780,5800627,5805587
206,55,294675,298680,5800711,5805671
207,55,298575,302580,5800795,5805755
208,55,302475,306479,5800879,5805839
209,55,306374,310378,5800963,5805923
210,55,357270,361273,5792300,5797258
211,55,361169,365172,5792383,5797341
212,55,357375,361378,5787425,5792383
213,55,361273,365276,5787508,5792466
214,55,357479,361482,5782550,5787508
215,55,361378,365380,5782633,5787592
219,55,278761,282766,5815005,5819966
220,55,282661,286666,5815089,5820050
221,55,286561,290566,5815173,5820133
222,55,290461,294466,5815257,5820217
225,55,278866,282871,5810128,5815089
226,55,282766,286771,5810212,5815173
227,55,286666,290671,5810296,5815257
228,55,290566,294571,5810380,5815340
233,55,286771,290776,5805420,5810380
234,55,290671,294675,5805504,5810464
243,55,286981,290986,5795666,5800627
244,55,290881,294885,5795751,5800711
245,55,327381,331384,5844834,5849793
246,55,331280,335283,5844917,5849876
251,55,307639,311644,5742455,5747415
185,55,336943,340946,5830886,5835845
190,55,323128,327132,5747669,5752629
191,55,327026,331030,5747754,5752713
192,55,330925,334929,5747838,5752797
193,55,334823,338827,5747923,5752882
194,55,338722,342725,5748007,5752966
195,55,342620,346623,5748092,5753050
198,55,298680,302685,5795919,5800879
200,55,279213,283218,5792123,5797084
19,55,325454,329457,5820885,5825844
88,55,333878,337881,5791798,5796757
89,55,337777,341780,5791882,5796841
90,55,341676,345679,5791965,5796924
91,55,345574,349578,5792049,5797008
69,55,329770,333773,5801465,5806424
70,55,333669,337672,5801549,5806508
71,55,337568,341571,5801632,5806591
72,55,341467,345470,5801716,5806675
73,55,345366,349369,5801799,5806758
74,55,349264,353267,5801883,5806841
75,55,353163,357166,5801966,5806925
76,55,322076,326080,5796422,5801382
77,55,325975,329979,5796506,5801465
78,55,329874,333878,5796590,5801549
79,55,333773,337777,5796673,5801632
80,55,337672,341676,5796757,5801716
94,55,337881,341885,5787006,5791965
95,55,341780,345783,5787090,5792049
96,55,345679,349682,5787174,5792133
97,55,334087,338091,5782047,5787006
98,55,337986,341990,5782131,5787090
44,55,321763,325766,5811050,5816009
45,55,325662,329665,5811133,5816092
46,55,329561,333565,5811217,5816176
47,55,333460,337464,5811300,5816259
48,55,337359,341363,5811383,5816342
49,55,341258,345261,5811467,5816426
50,55,345157,349160,5811550,5816509
51,55,349056,353059,5811633,5816592
52,55,352955,356958,5811717,5816675
53,55,302370,306374,5805755,5810715
54,55,306270,310274,5805839,5810799
55,55,310169,314173,5805923,5810882
56,55,314068,318072,5806006,5810966
110,55,349578,353581,5787257,5792216
111,55,353476,357479,5787341,5792300
118,55,356750,360753,5816675,5821633
119,55,360649,364651,5816758,5821716
120,55,356854,360857,5811800,5816758
121,55,360753,364755,5811883,5816841
122,55,356958,360961,5806925,5811883
123,55,360857,364859,5807008,5811966
124,55,357062,361065,5802050,5807008
125,55,360961,364963,5802133,5807091
81,55,341571,345574,5796841,5801799
82,55,345470,349473,5796924,5801883
83,55,349369,353372,5797008,5801966
84,55,353267,357270,5797091,5802050
85,55,322181,326185,5791547,5796506
86,55,326080,330084,5791630,5796590
87,55,329979,333983,5791714,5796673
43,55,317863,321867,5810966,5815925
256,55,327132,331136,5742879,5747838
259,55,315543,319547,5737750,5742710
260,55,319441,323445,5737835,5742794
261,55,323340,327344,5737920,5742879
262,55,327238,331242,5738005,5742964
263,55,340843,344845,5830969,5835928
264,55,344742,348744,5831052,5836011
265,55,348641,352643,5831135,5836094
280,55,352747,356750,5821467,5826426
281,55,356646,360649,5821550,5826509
282,55,360545,364547,5821633,5826592
283,55,364444,368446,5821716,5826675
284,55,368342,372345,5821799,5826757
285,55,364547,368550,5816841,5821799
286,55,368446,372449,5816924,5821882
287,55,372379,376382,5815382,5820340
57,55,317968,321972,5806090,5811050
58,55,321867,325871,5806174,5811133
59,55,325766,329770,5806257,5811217
92,55,330084,334087,5786839,5791798
93,55,333983,337986,5786923,5791882
126,55,357166,361169,5797175,5802133
127,55,361065,365067,5797258,5802216
128,55,341885,345888,5782215,5787174
129,55,345783,349787,5782299,5787257
130,55,349682,353685,5782383,5787341
131,55,353581,357584,5782466,5787425
132,55,341990,345993,5777340,5782299
133,55,345888,349891,5777424,5782383
134,55,349787,353790,5777508,5782466
135,55,353685,357688,5777591,5782550
136,55,342094,346098,5772465,5777424
137,55,345993,349996,5772549,5777508
138,55,349891,353894,5772633,5777591
153,55,334612,338616,5757672,5762631
154,55,338511,342515,5757756,5762715
155,55,342409,346413,5757841,5762799
156,55,298168,302173,5752004,5756965
157,55,302067,306072,5752089,5757049
158,55,315225,319229,5752375,5757335
159,55,319124,323128,5752460,5757419
160,55,323022,327026,5752544,5757504
161,55,326921,330925,5752629,5757588
162,55,330819,334823,5752713,5757672
163,55,334718,338722,5752797,5757756
164,55,338616,342620,5752882,5757841
165,55,342515,346518,5752966,5757925
168,55,307533,311538,5747330,5752290
169,55,311432,315437,5747415,5752375
170,55,315331,319335,5747500,5752460
171,55,319229,323234,5747585,5752544
176,55,301848,305852,5830137,5835097
177,55,305748,309752,5830220,5835180
178,55,309647,313651,5830304,5835263
179,55,313547,317551,5830387,5835346
180,55,317447,321450,5830470,5835430
181,55,321346,325349,5830553,5835513
182,55,325246,329249,5830637,5835596
183,55,329145,333148,5830720,5835679
184,55,333044,337047,5830803,5835762
139,55,353790,357793,5772717,5777675
140,55,342199,346203,5767590,5772549
141,55,346098,350101,5767674,5772633
142,55,349996,353999,5767758,5772717
143,55,353894,357898,5767842,5772800
145,55,326710,330714,5762379,5767338
42,55,313964,317968,5810882,5815842
291,55,387874,391876,5820386,5825343
292,55,391773,395774,5820469,5825426
299,55,372760,376763,5797508,5802466
303,55,372968,376971,5787758,5792716
304,55,376867,380869,5787842,5792800
305,55,364651,368654,5811966,5816924
306,55,368550,372552,5812049,5817007
307,55,364755,368758,5807091,5812049
308,55,368654,372656,5807174,5812132
309,55,364859,368862,5802216,5807174
310,55,368758,372760,5802299,5807257
311,55,364963,368966,5797341,5802299
312,55,368862,372864,5797425,5802383
313,55,365067,369070,5792466,5797425
267,55,356439,360441,5831301,5836259
268,55,360338,364340,5831384,5836342
269,55,364236,368239,5831467,5836425
60,55,329665,333669,5806341,5811300
61,55,333565,337568,5806424,5811383
62,55,337464,341467,5806508,5811467
63,55,341363,345366,5806591,5811550
64,55,345261,349264,5806675,5811633
65,55,349160,353163,5806758,5811717
66,55,353059,357062,5806841,5811800
67,55,321972,325975,5801298,5806257
3,55,301952,305956,5825261,5830220
4,55,305852,309856,5825344,5830304
317,55,365276,369279,5782717,5787675
318,55,369174,373177,5782800,5787758
319,55,373073,377075,5782884,5787842
320,55,376971,380973,5782967,5787925
321,55,357584,361586,5777675,5782633
322,55,361482,365485,5777759,5782717
323,55,365380,369383,5777842,5782800
324,55,369279,373281,5777926,5782884
327,55,270647,274652,5829469,5834430
328,55,274547,278552,5829553,5834514
342,55,282557,286561,5819966,5824927
343,55,286457,290461,5820050,5825010
344,55,290357,294361,5820133,5825094
351,55,294048,298052,5829970,5834930
201,55,294780,298785,5795835,5800795
266,55,352540,356542,5831218,5836177
300,55,365639,369642,5768640,5773599
352,55,297948,301952,5830054,5835014
353,55,294152,298157,5825094,5830054
354,55,298052,302056,5825177,5830137
355,55,294257,298261,5820217,5825177
356,55,298157,302161,5820301,5825261
357,55,294361,298366,5815340,5820301
358,55,298261,302265,5815424,5820384
359,55,294466,298470,5810464,5815424
360,55,298366,302370,5810548,5815508
361,55,293840,297844,5839724,5844684
362,55,297740,301744,5839807,5844767
363,55,301640,305644,5839890,5844850
364,55,305540,309543,5839973,5844933
365,55,309440,313443,5840056,5845016
202,55,294571,298575,5805587,5810548
203,55,298470,302475,5805671,5810631
204,55,286876,290881,5800543,5805504
252,55,311538,315543,5742540,5747500
253,55,315437,319441,5742625,5747585
254,55,319335,323340,5742710,5747669
255,55,323234,327238,5742794,5747754
288,55,376278,380280,5815465,5820423
289,55,380142,384144,5817173,5822131
290,55,384040,388042,5817256,5822214
270,55,368135,372138,5831550,5836508
271,55,340946,344949,5826093,5831052
272,55,344845,348848,5826177,5831135
273,55,348744,352747,5826260,5831218
274,55,352643,356646,5826343,5831301
275,55,356542,360545,5826426,5831384
276,55,360441,364444,5826509,5831467
277,55,364340,368342,5826592,5831550
278,55,368239,372241,5826675,5831633
279,55,348848,352851,5821384,5826343
314,55,368966,372968,5792550,5797508
315,55,365172,369174,5787592,5792550
316,55,369070,373073,5787675,5792633
731,55,334649,347029,5728839,5744468
732,55,346696,359074,5729101,5744728
733,55,351237,352722,5740197,5741749
733,55,337018,339031,5734895,5736971
734,55,344827,349743,5741036,5743180
734,55,358430,359936,5733417,5735470
734,55,345353,346835,5738864,5739911
733,55,339983,344871,5739911,5743075
733,55,347430,352390,5735445,5738562
734,55,353679,358492,5732488,5736661
499,55,293653,296611,5761121,5762709